GEO_ID,NAME,total_pop,white_pop,black_pop,asian_pop,DECENNIALPL2020.P2_data_with_overlays_2021-11-29T140643_NAME,hisp_pop,non_hisp_pop
id,Geographic Area Name, !!Total:, !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone, !!Total:!!Population of one race:!!Asian alone,Geographic Area Name, !!Total:!!Hispanic or Latino, !!Total:!!Not Hispanic or Latino:
1400000US42101011800,"Census Tract 118, Philadelphia County, Pennsylvania","5491","230","4957","28","Census Tract 118, Philadelphia County, Pennsylvania","165","5326"
1400000US42101011900,"Census Tract 119, Philadelphia County, Pennsylvania","5016","197","4489","80","Census Tract 119, Philadelphia County, Pennsylvania","130","4886"
1400000US42101012000,"Census Tract 120, Philadelphia County, Pennsylvania","1943","530","1048","212","Census Tract 120, Philadelphia County, Pennsylvania","107","1836"
1400000US42101012100,"Census Tract 121, Philadelphia County, Pennsylvania","2817","650","1841","129","Census Tract 121, Philadelphia County, Pennsylvania","99","2718"
1400000US42101012201,"Census Tract 122.01, Philadelphia County, Pennsylvania","2893","911","1363","361","Census Tract 122.01, Philadelphia County, Pennsylvania","177","2716"
1400000US42101012203,"Census Tract 122.03, Philadelphia County, Pennsylvania","658","280","143","155","Census Tract 122.03, Philadelphia County, Pennsylvania","32","626"
1400000US42101012204,"Census Tract 122.04, Philadelphia County, Pennsylvania","3694","657","2628","149","Census Tract 122.04, Philadelphia County, Pennsylvania","155","3539"
1400000US42101012501,"Census Tract 125.01, Philadelphia County, Pennsylvania","2935","1721","341","559","Census Tract 125.01, Philadelphia County, Pennsylvania","219","2716"
1400000US42101012502,"Census Tract 125.02, Philadelphia County, Pennsylvania","5141","3252","570","818","Census Tract 125.02, Philadelphia County, Pennsylvania","360","4781"
1400000US42101013100,"Census Tract 131, Philadelphia County, Pennsylvania","1709","437","943","142","Census Tract 131, Philadelphia County, Pennsylvania","138","1571"
1400000US42101013200,"Census Tract 132, Philadelphia County, Pennsylvania","3221","659","1883","385","Census Tract 132, Philadelphia County, Pennsylvania","259","2962"
1400000US42101013300,"Census Tract 133, Philadelphia County, Pennsylvania","4057","2298","914","315","Census Tract 133, Philadelphia County, Pennsylvania","333","3724"
1400000US42101013401,"Census Tract 134.01, Philadelphia County, Pennsylvania","2971","2496","115","157","Census Tract 134.01, Philadelphia County, Pennsylvania","142","2829"
1400000US42101013402,"Census Tract 134.02, Philadelphia County, Pennsylvania","3635","2546","424","236","Census Tract 134.02, Philadelphia County, Pennsylvania","390","3245"
1400000US42101013500,"Census Tract 135, Philadelphia County, Pennsylvania","4252","2784","839","169","Census Tract 135, Philadelphia County, Pennsylvania","332","3920"
1400000US42101013601,"Census Tract 136.01, Philadelphia County, Pennsylvania","2911","2422","76","160","Census Tract 136.01, Philadelphia County, Pennsylvania","139","2772"
1400000US42101013602,"Census Tract 136.02, Philadelphia County, Pennsylvania","3776","3026","228","188","Census Tract 136.02, Philadelphia County, Pennsylvania","187","3589"
1400000US42101013701,"Census Tract 137.01, Philadelphia County, Pennsylvania","2122","976","787","146","Census Tract 137.01, Philadelphia County, Pennsylvania","147","1975"
1400000US42101013702,"Census Tract 137.02, Philadelphia County, Pennsylvania","3913","1533","1918","100","Census Tract 137.02, Philadelphia County, Pennsylvania","236","3677"
1400000US42101013800,"Census Tract 138, Philadelphia County, Pennsylvania","2126","555","1310","47","Census Tract 138, Philadelphia County, Pennsylvania","146","1980"
1400000US42101013900,"Census Tract 139, Philadelphia County, Pennsylvania","2520","552","1681","59","Census Tract 139, Philadelphia County, Pennsylvania","159","2361"
1400000US42101014000,"Census Tract 140, Philadelphia County, Pennsylvania","5456","1978","2279","629","Census Tract 140, Philadelphia County, Pennsylvania","392","5064"
1400000US42101014100,"Census Tract 141, Philadelphia County, Pennsylvania","3088","817","1562","243","Census Tract 141, Philadelphia County, Pennsylvania","439","2649"
1400000US42101014201,"Census Tract 142.01, Philadelphia County, Pennsylvania","3497","2650","228","219","Census Tract 142.01, Philadelphia County, Pennsylvania","274","3223"
1400000US42101014202,"Census Tract 142.02, Philadelphia County, Pennsylvania","2309","1665","142","275","Census Tract 142.02, Philadelphia County, Pennsylvania","173","2136"
1400000US42101014300,"Census Tract 143, Philadelphia County, Pennsylvania","1937","1592","56","125","Census Tract 143, Philadelphia County, Pennsylvania","117","1820"
1400000US42101014400,"Census Tract 144, Philadelphia County, Pennsylvania","5111","3170","642","335","Census Tract 144, Philadelphia County, Pennsylvania","920","4191"
1400000US42101014500,"Census Tract 145, Philadelphia County, Pennsylvania","2718","704","1334","266","Census Tract 145, Philadelphia County, Pennsylvania","433","2285"
1400000US42101014600,"Census Tract 146, Philadelphia County, Pennsylvania","7477","2951","2594","1149","Census Tract 146, Philadelphia County, Pennsylvania","655","6822"
1400000US42101014700,"Census Tract 147, Philadelphia County, Pennsylvania","4781","1813","1948","548","Census Tract 147, Philadelphia County, Pennsylvania","336","4445"
1400000US42101014800,"Census Tract 148, Philadelphia County, Pennsylvania","1099","65","907","40","Census Tract 148, Philadelphia County, Pennsylvania","88","1011"
1400000US42101014900,"Census Tract 149, Philadelphia County, Pennsylvania","3765","261","3184","53","Census Tract 149, Philadelphia County, Pennsylvania","188","3577"
1400000US42101015101,"Census Tract 151.01, Philadelphia County, Pennsylvania","2217","75","1997","14","Census Tract 151.01, Philadelphia County, Pennsylvania","107","2110"
1400000US42101015102,"Census Tract 151.02, Philadelphia County, Pennsylvania","4154","87","3773","21","Census Tract 151.02, Philadelphia County, Pennsylvania","180","3974"
1400000US42101015200,"Census Tract 152, Philadelphia County, Pennsylvania","5509","195","4864","42","Census Tract 152, Philadelphia County, Pennsylvania","286","5223"
1400000US42101015300,"Census Tract 153, Philadelphia County, Pennsylvania","7943","3671","2964","584","Census Tract 153, Philadelphia County, Pennsylvania","560","7383"
1400000US42101015600,"Census Tract 156, Philadelphia County, Pennsylvania","1902","605","441","63","Census Tract 156, Philadelphia County, Pennsylvania","916","986"
1400000US42101015700,"Census Tract 157, Philadelphia County, Pennsylvania","2924","1592","244","111","Census Tract 157, Philadelphia County, Pennsylvania","1032","1892"
1400000US42101015800,"Census Tract 158, Philadelphia County, Pennsylvania","6575","5572","132","259","Census Tract 158, Philadelphia County, Pennsylvania","408","6167"
1400000US42101016001,"Census Tract 160.01, Philadelphia County, Pennsylvania","2695","2307","69","87","Census Tract 160.01, Philadelphia County, Pennsylvania","174","2521"
1400000US42101016002,"Census Tract 160.02, Philadelphia County, Pennsylvania","4236","3536","116","173","Census Tract 160.02, Philadelphia County, Pennsylvania","325","3911"
1400000US42101016100,"Census Tract 161, Philadelphia County, Pennsylvania","6583","4076","466","791","Census Tract 161, Philadelphia County, Pennsylvania","1107","5476"
1400000US42101016200,"Census Tract 162, Philadelphia County, Pennsylvania","2078","415","456","52","Census Tract 162, Philadelphia County, Pennsylvania","1351","727"
1400000US42101016300,"Census Tract 163, Philadelphia County, Pennsylvania","3243","558","615","230","Census Tract 163, Philadelphia County, Pennsylvania","2231","1012"
1400000US42101016400,"Census Tract 164, Philadelphia County, Pennsylvania","4181","387","1680","44","Census Tract 164, Philadelphia County, Pennsylvania","2451","1730"
1400000US42101016500,"Census Tract 165, Philadelphia County, Pennsylvania","2477","87","2013","21","Census Tract 165, Philadelphia County, Pennsylvania","363","2114"
1400000US42101016600,"Census Tract 166, Philadelphia County, Pennsylvania","1838","330","1211","102","Census Tract 166, Philadelphia County, Pennsylvania","186","1652"
1400000US42101016701,"Census Tract 167.01, Philadelphia County, Pennsylvania","2833","88","2570","9","Census Tract 167.01, Philadelphia County, Pennsylvania","145","2688"
1400000US42101016702,"Census Tract 167.02, Philadelphia County, Pennsylvania","2908","166","2511","50","Census Tract 167.02, Philadelphia County, Pennsylvania","149","2759"
1400000US42101016800,"Census Tract 168, Philadelphia County, Pennsylvania","3565","74","3239","14","Census Tract 168, Philadelphia County, Pennsylvania","128","3437"
1400000US42101016901,"Census Tract 169.01, Philadelphia County, Pennsylvania","3125","74","2873","8","Census Tract 169.01, Philadelphia County, Pennsylvania","120","3005"
1400000US42101016902,"Census Tract 169.02, Philadelphia County, Pennsylvania","5030","58","4683","23","Census Tract 169.02, Philadelphia County, Pennsylvania","166","4864"
1400000US42101017000,"Census Tract 170, Philadelphia County, Pennsylvania","3126","791","1991","125","Census Tract 170, Philadelphia County, Pennsylvania","175","2951"
1400000US42101017100,"Census Tract 171, Philadelphia County, Pennsylvania","3722","56","3462","13","Census Tract 171, Philadelphia County, Pennsylvania","158","3564"
1400000US42101017201,"Census Tract 172.01, Philadelphia County, Pennsylvania","2903","39","2706","10","Census Tract 172.01, Philadelphia County, Pennsylvania","102","2801"
1400000US42101017202,"Census Tract 172.02, Philadelphia County, Pennsylvania","3729","55","3480","13","Census Tract 172.02, Philadelphia County, Pennsylvania","151","3578"
1400000US42101017300,"Census Tract 173, Philadelphia County, Pennsylvania","2872","40","2629","25","Census Tract 173, Philadelphia County, Pennsylvania","115","2757"
1400000US42101017400,"Census Tract 174, Philadelphia County, Pennsylvania","2307","56","1921","19","Census Tract 174, Philadelphia County, Pennsylvania","292","2015"
1400000US42101017500,"Census Tract 175, Philadelphia County, Pennsylvania","6711","645","2003","79","Census Tract 175, Philadelphia County, Pennsylvania","4667","2044"
1400000US42101017601,"Census Tract 176.01, Philadelphia County, Pennsylvania","5027","689","598","47","Census Tract 176.01, Philadelphia County, Pennsylvania","4344","683"
1400000US42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania","3573","524","627","36","Census Tract 176.02, Philadelphia County, Pennsylvania","2832","741"
1400000US42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania","3552","500","1091","103","Census Tract 177.01, Philadelphia County, Pennsylvania","2098","1454"
1400000US42101017702,"Census Tract 177.02, Philadelphia County, Pennsylvania","4582","684","870","94","Census Tract 177.02, Philadelphia County, Pennsylvania","3372","1210"
1400000US42101017800,"Census Tract 178, Philadelphia County, Pennsylvania","6246","1574","1731","170","Census Tract 178, Philadelphia County, Pennsylvania","3212","3034"
1400000US42101017900,"Census Tract 179, Philadelphia County, Pennsylvania","6152","2548","1300","151","Census Tract 179, Philadelphia County, Pennsylvania","2315","3837"
1400000US42101018001,"Census Tract 180.01, Philadelphia County, Pennsylvania","2485","2030","86","61","Census Tract 180.01, Philadelphia County, Pennsylvania","298","2187"
1400000US42101018002,"Census Tract 180.02, Philadelphia County, Pennsylvania","5439","4753","143","73","Census Tract 180.02, Philadelphia County, Pennsylvania","394","5045"
1400000US42101018300,"Census Tract 183, Philadelphia County, Pennsylvania","4326","3997","33","24","Census Tract 183, Philadelphia County, Pennsylvania","189","4137"
1400000US42101018400,"Census Tract 184, Philadelphia County, Pennsylvania","2278","2083","12","10","Census Tract 184, Philadelphia County, Pennsylvania","96","2182"
1400000US42101018801,"Census Tract 188.01, Philadelphia County, Pennsylvania","4445","1152","1244","86","Census Tract 188.01, Philadelphia County, Pennsylvania","2273","2172"
